Time,actual_gap1,actual_gap2,des_gap1,des_gap2,TargetVelocity
6.819998,32.24967,24.48731,30.88655,23.11421,33.33333
6.839998,32.33909,24.56514,30.97877,23.19587,33.33333
6.859998,32.42852,24.64307,31.071,23.27761,33.33333
6.879998,32.51796,24.72111,31.16322,23.35944,33.33333
6.899998,32.60741,24.79925,31.25544,23.44136,33.33333
6.919998,32.69687,24.87749,31.34766,23.52336,33.33333
6.939998,32.78634,24.95584,31.43987,23.60545,33.33333
6.959998,32.87582,25.03428,31.53208,23.68762,33.33333
6.979998,32.9653,25.11283,31.62428,23.76987,33.33333
6.999998,33.0548,25.19147,31.71648,23.8522,33.33333
7.019998,33.1443,25.27021,31.80868,23.93462,33.33333
7.039998,33.23381,25.34905,31.90086,24.01712,33.33333
7.059998,33.32332,25.42798,31.99304,24.09969,33.33333
7.079998,33.41283,25.50701,32.08521,24.18235,33.33333
7.099998,33.50235,25.58613,32.17736,24.26508,33.33333
7.119998,33.59187,25.66535,32.26952,24.34789,33.33333
7.139997,33.6814,25.74466,32.36166,24.43078,33.33333
7.159997,33.77093,25.82406,32.45378,24.51374,33.33333
7.179997,33.86045,25.90355,32.5459,24.59678,33.33333
7.199997,33.94997,25.98313,32.638,24.67988,33.33333
7.219997,34.0395,26.0628,32.73009,24.76307,33.33333
7.239997,34.12903,26.14256,32.82217,24.84632,33.33333
7.259997,34.21855,26.2224,32.91424,24.92965,33.33333
7.279997,34.30807,26.30234,33.00629,25.01304,33.33333
7.299997,34.39759,26.38236,33.09832,25.09651,33.33333
7.319997,34.48711,26.46246,33.19033,25.18004,33.33333
7.339997,34.57662,26.54265,33.28233,25.26365,33.33333
7.359997,34.66612,26.62292,33.37431,25.34732,33.33333
7.379997,34.75562,26.70327,33.46628,25.43105,33.33333
7.399997,34.84511,26.7837,33.55822,25.51486,33.33333
7.419997,34.93459,26.86421,33.65015,25.59872,33.33333
7.439997,35.02407,26.94481,33.74205,25.68266,33.33333
7.459997,35.11353,27.02548,33.83393,25.76665,33.33333
7.479997,35.20299,27.10623,33.9258,25.85071,33.33333
7.499997,35.29243,27.18706,34.01763,25.93483,33.33333
7.519997,35.38187,27.26797,34.10945,26.01901,33.33333
7.539997,35.47129,27.34895,34.20124,26.10325,33.33333
7.559998,35.56071,27.43,34.29301,26.18755,33.33333
7.579998,35.6501,27.51113,34.38475,26.27191,33.33333
7.599998,35.73949,27.59233,34.47647,26.35632,33.33333
7.619998,35.82887,27.6736,34.56816,26.44079,33.33333
7.639997,35.91822,27.75495,34.65983,26.52532,33.33333
7.659997,36.00756,27.83636,34.75147,26.60991,33.33333
7.679997,36.09689,27.91785,34.84308,26.69455,33.33333
7.699997,36.1862,27.9994,34.93466,26.77924,33.33333
7.719997,36.27549,28.08102,35.02621,26.86398,33.33333
7.739997,36.36476,28.16271,35.11774,26.94878,33.33333
7.759997,36.45402,28.24446,35.20923,27.03363,33.33333
7.779997,36.54325,28.32628,35.30069,27.11853,33.33333
7.799997,36.63246,28.40817,35.39212,27.20348,33.33333
7.819997,36.72165,28.49012,35.48351,27.28848,33.33333
7.839997,36.81082,28.57214,35.57487,27.37353,33.33333
7.859997,36.89997,28.65421,35.6662,27.45863,33.33333
7.879997,36.98909,28.73635,35.7575,27.54377,33.33333
7.899997,37.07819,28.81854,35.84875,27.62896,33.33333
7.919997,37.16727,28.9008,35.93998,27.71419,33.33333
7.939997,37.25632,28.98312,36.03117,27.79947,33.33333
7.959997,37.34535,29.06549,36.12231,27.88479,33.33333
7.979997,37.43435,29.14793,36.21342,27.97015,33.33333
7.999997,37.52332,29.23042,36.3045,28.05556,33.33333
8.019998,37.61226,29.31296,36.39553,28.14101,33.33333
8.039997,37.70118,29.39557,36.48653,28.2265,33.33333
8.059998,37.79007,29.47822,36.57748,28.31203,33.33333
8.079997,37.87892,29.56092,36.6684,28.3976,33.33333
8.099998,37.96774,29.64369,36.75927,28.48321,33.33333
8.119997,38.05653,29.7265,36.8501,28.56885,33.33333
8.139997,38.14529,29.80937,36.94088,28.65453,33.33333
8.159997,38.23402,29.89228,37.03162,28.74025,33.33333
8.179997,38.32272,29.97524,37.12232,28.826,33.33333
8.199997,38.41138,30.05826,37.21297,28.91179,33.33333
8.219997,38.50002,30.14132,37.30359,28.99761,33.33333
8.239997,38.58861,30.22442,37.39415,29.08347,33.33333
8.259997,38.67717,30.30758,37.48466,29.16936,33.33333
8.279997,38.76569,30.39077,37.57513,29.25528,33.33333
8.299997,38.85418,30.47401,37.66555,29.34123,33.33333
8.319997,38.94263,30.5573,37.75592,29.42721,33.33333
8.339997,39.03103,30.64063,37.84624,29.51322,33.33333
8.359997,39.1194,30.724,37.93652,29.59925,33.33333
8.379997,39.20774,30.80742,38.02674,29.68532,33.33333
8.399997,39.29603,30.89087,38.11691,29.77141,33.33333
