Time,Fx,Lambda
16.45999,1673.261,0
16.47999,1668.604,0
16.49999,1663.947,0
16.51999,1659.292,0
16.53999,1654.639,0
16.55999,1649.988,0
16.57999,1645.34,0
16.59999,1640.695,0
16.61999,1636.05,0
16.63999,1631.408,0
16.65999,1626.768,0
16.67999,1622.132,0
16.69999,1617.497,0
16.71999,1612.864,0
16.73999,1608.236,0
16.75999,1603.61,0
16.77999,1598.986,0
16.79999,1594.365,0
16.81999,1589.745,0
16.83999,1585.13,0
16.85999,1580.518,0
16.87999,1575.908,0
16.89999,1571.3,0
16.91999,1566.699,0
16.93999,1562.098,0
16.95999,1557.501,0
16.97999,1552.909,0
16.99999,1548.32,0
17.01999,1543.733,0
17.03999,1539.152,0
17.05999,1534.573,0
17.07999,1529.999,0
17.09999,1525.426,0
17.11999,1520.858,0
17.13999,1516.296,0
17.15999,1511.735,0
17.17999,1507.18,0
17.19999,1502.629,0
17.21999,1498.081,0
17.23999,1493.537,0
17.25999,1488.998,0
17.27999,1484.463,0
17.29999,1479.933,0
17.31999,1475.409,0
17.33999,1470.887,0
17.35999,1466.37,0
17.37999,1461.857,0
17.39999,1457.352,0
17.41999,1452.849,0
17.43999,1448.351,0
17.45999,1443.857,0
17.47999,1439.371,0
17.49999,1434.886,0
17.51999,1430.408,0
17.53999,1425.936,0
17.55999,1421.468,0
17.57999,1417.005,0
17.59999,1412.546,0
17.61999,1408.093,0
17.63999,1403.646,0
17.65999,1399.203,0
17.67999,1394.767,0
17.69999,1390.335,0
17.71999,1385.91,0
17.73999,1381.489,0
17.75999,1377.076,0
17.77999,1372.667,0
17.79999,1368.265,0
17.81999,1363.866,0
17.83999,1359.474,0
17.85999,1355.089,0
17.87999,1350.708,0
17.89999,1346.335,0
17.91999,1341.967,0
17.93999,1337.604,0
17.95999,1333.248,0
17.97999,1328.897,0
17.99999,1324.553,0
18.01999,1320.214,0
18.03999,1315.883,0
18.05999,1311.559,0
18.07999,1307.239,0
18.09999,1302.926,0
18.11999,1298.62,0
18.13999,1294.322,0
18.15999,1290.029,0
18.17999,1285.743,0
18.19999,1281.463,0
18.21999,1277.189,0
18.23999,1272.922,0
18.25999,1268.663,0
18.27999,1264.41,0
18.29999,1260.164,0
18.31999,1255.926,0
18.33999,1251.694,0
18.35999,1247.468,0
18.37999,1243.251,0
18.39999,1239.039,0
18.41999,1234.834,0
18.43999,1230.636,0
18.45999,1226.445,0
18.47999,1222.261,0
18.49999,1218.084,0
18.51999,1213.915,0
18.53999,1209.752,0
18.55999,1205.598,0
18.57999,1201.451,0
